,SMILES,Name,IC50 (nM)
0,Clc1cccc(CN(C(=O)Cc2nnc3ccccn23)c2ccc(cc2)-c2cn[nH]c2)c1,"US20240293380, Compound 1",365.0
1,Clc1cccc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2cn[nH]c2)c1,"US20240293380, Compound 2",30.0
2,Fc1ccc2nnc(CC(=O)N(Cc3cccc(Cl)c3)c3ccc(cc3)-c3cn[nH]c3)n2c1,"US20240293380, Compound 3",3365.0
3,Clc1cccc(CN(C(=O)Cc2cnc3ccccn23)c2ccc(cc2)-c2cn[nH]c2)c1,"US20240293380, Compound 4",1146.0
4,Clc1cccc(CN(C(=O)Cc2cnccn2)c2ccc(cc2)-c2cn[nH]c2)c1,"US20240293380, Compound 5",5217.0
5,Clc1cccc(CN(C(=O)Cc2cccnn2)c2ccc(cc2)-c2cn[nH]c2)c1,"US20240293380, Compound 6",5000.0
6,Fc1cc(Cl)cc(CN(C(=O)Cc2nnc3ccccn23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 9",71.0
7,Fc1ccc2nnc(CC(=O)N(Cc3cc(F)cc(Cl)c3)c3ccc(cc3)-c3c[nH]cn3)n2c1,"US20240293380, Compound 10",77.0
8,Fc1cc(Cl)cc(CN(C(=O)Cc2cnc3ccccn23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 11",65.0
9,Fc1cc(Cl)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 12",15.0
10,C[C@@H](N(C(=O)Cc1nnc2ccccn12)c1ccc(cc1)-c1c[nH]cn1)c1cc(F)cc(Cl)c1,"US20240293380, Compound 13",587.0
11,C[C@@H](N(C(=O)Cc1cncc2ccccc12)c1ccc(cc1)-c1c[nH]cn1)c1cc(F)cc(Cl)c1,"US20240293380, Compound 14",76.0
12,Fc1ccc(Cl)cc1CN(C(=O)Cc1cncc2ccccc12)c1ccc(cc1)-c1c[nH]cn1,"US20240293380, Compound 15",308.0
13,Fc1c(Cl)cccc1CN(C(=O)Cc1cncc2ccccc12)c1ccc(cc1)-c1c[nH]cn1,"US20240293380, Compound 16",370.0
14,Clc1cncc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 17",101.0
15,COc1ccc(Cl)cc1CN(C(=O)Cc1cncc2ccccc12)c1ccc(cc1)-c1c[nH]cn1,"US20240293380, Compound 18",191.0
16,COc1cc(Cl)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 19",100.0
